Keyword,Competition,Competition_indexed_value,Top_of_page_bid_low_range,Top_of_page_bid_high_range,Avg_monthly_searches
sector economico,Bajo,0.0,36.04,71.55,5000.0
financieros,Bajo,25.0,32.29,143.51,5000.0
servicio financiero carrefour,Bajo,22.0,3.6,15.91,5000.0
banco de servicios financieros,Bajo,24.0,3.73,28.0,5000.0
sector económico,Bajo,0.0,36.04,71.55,5000.0
servicios financieros,Medio,36.0,18.49,976.27,500.0
asesores financieros,Medio,54.0,79.81,504.57,500.0
inversiones financieras,Medio,49.0,68.77,269.09,500.0
analisis financiero,Medio,42.0,54.85,166.39,500.0
consultoria financiera,Medio,42.0,58.55,392.03,500.0
entidades financieras,Bajo,28.0,60.15,411.37,500.0
creditos financieros,Medio,53.0,37.74,200.82,500.0
banco financiero,Medio,43.0,4.67,297.92,500.0
intermediarios financieros,Bajo,13.0,31.98,122.43,500.0
reba compañia financiera,Bajo,30.0,72.07,318.97,500.0
crédito financiero,Medio,53.0,37.74,200.82,500.0
banco servicios financieros,Bajo,29.0,3.82,33.29,500.0
acceso financiero,Bajo,16.0,66.57,303.68,500.0
ambito financiero mercados,Bajo,6.0,35.0,77.01,500.0
banco de servicios financieros carrefour,Bajo,22.0,3.64,31.64,500.0
banco financiero carrefour,Bajo,23.0,3.66,46.65,500.0
bancodeserviciosfinancieros com ar carrefour,Bajo,31.0,3.91,89.63,500.0
bcra entidades financieras,Bajo,6.0,33.6,7000.55,500.0
coste financiero,Bajo,2.0,20.64,75.63,500.0
economia agroexportadora,Bajo,1.0,3.5,40.79,500.0
economia informal,Bajo,2.0,60.73,700.05,500.0
economía informal,Bajo,2.0,60.73,700.05,500.0
entidades financieras bcra,Bajo,8.0,30.47,7000.55,500.0
financiero banco,Medio,43.0,4.67,297.92,500.0
financieros que es,Bajo,5.0,13.02,82.39,500.0
gestion financiera que es,Bajo,24.0,43.83,238.02,500.0
instituciones financiera,Bajo,14.0,32.84,163.89,500.0
la economia agroexportadora,Bajo,1.0,3.5,4.7,500.0
presupuesto financieros,Bajo,12.0,33.54,115.51,500.0
servicios financieros carrefour 0800,Bajo,13.0,3.55,4.82,500.0
